Time,Time Code,Country Name,Country Code,"Population, total [SP.POP.TOTL]",Population growth (annual %) [SP.POP.GROW],Surface area (sq. km) [AG.SRF.TOTL.K2],Population density (people per sq. km of land area) [EN.POP.DNST],Poverty headcount ratio at national poverty lines (% of population) [SI.POV.NAHC],Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population) [SI.POV.DDAY],"GNI, Atlas method (current US$) [NY.GNP.ATLS.CD]","GNI per capita, Atlas method (current US$) [NY.GNP.PCAP.CD]","GNI, PPP (current international $) [NY.GNP.MKTP.PP.CD]","GNI per capita, PPP (current international $) [NY.GNP.PCAP.PP.CD]",Income share held by lowest 20% [SI.DST.FRST.20],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Fertility rate, total (births per woman) [SP.DYN.TFRT.IN]","Adolescent fertility rate (births per 1,000 women ages 15-19) [SP.ADO.TFRT]","Contraceptive prevalence, any method (% of married women ages 15-49) [SP.DYN.CONU.ZS]",Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],"Mortality rate, under-5 (per 1,000 live births) [SH.DYN.MORT]","Prevalence of underweight, weight for age (% of children under 5) [SH.STA.MALN.ZS]","Immunization, measles (% of children ages 12-23 months) [SH.IMM.MEAS]","Primary completion rate, total (% of relevant age group) [SE.PRM.CMPT.ZS]","School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, primary and secondary (gross), gender parity index (GPI) [SE.ENR.PRSC.FM.ZS]","Prevalence of HIV, total (% of population ages 15-49) [SH.DYN.AIDS.ZS]",Forest area (sq. km) [AG.LND.FRST.K2],Terrestrial and marine protected areas (% of total territorial area) [ER.PTD.TOTL.ZS],"Annual freshwater withdrawals, total (% of internal resources) [ER.H2O.FWTL.ZS]",Urban population growth (annual %) [SP.URB.GROW],Energy use (kg of oil equivalent per capita) [EG.USE.PCAP.KG.OE],CO2 emissions (metric tons per capita) [EN.ATM.CO2E.PC],Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC],GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],"Inflation, GDP deflator (annual %) [NY.GDP.DEFL.KD.ZG]","Agriculture, forestry, and fishing, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry (including construction), value added (% of GDP) [NV.IND.TOTL.ZS]",Exports of goods and services (% of GDP) [NE.EXP.GNFS.ZS],Imports of goods and services (% of GDP) [NE.IMP.GNFS.ZS],Gross capital formation (% of GDP) [NE.GDI.TOTL.ZS],"Revenue, excluding grants (% of GDP) [GC.REV.XGRT.GD.ZS]",Time required to start a business (days) [IC.REG.DURS],Domestic credit provided by financial sector (% of GDP) [FS.AST.DOMS.GD.ZS],Tax revenue (% of GDP) [GC.TAX.TOTL.GD.ZS],Military expenditure (% of GDP) [MS.MIL.XPND.GD.ZS],Mobile cellular subscriptions (per 100 people) [IT.CEL.SETS.P2],High-technology exports (% of manufactured exports) [TX.VAL.TECH.MF.ZS],Statistical Capacity Score (Overall Average) (scale 0 - 100) [IQ.SCI.OVRL],Merchandise trade (% of GDP) [TG.VAL.TOTL.GD.ZS],Net barter terms of trade index (2000 = 100) [TT.PRI.MRCH.XD.WD],"External debt stocks, total (DOD, current US$) [DT.DOD.DECT.CD]","Total debt service (% of exports of goods, services and primary income) [DT.TDS.DECT.EX.ZS]",Net migration [SM.POP.NETM],"Personal remittances, received (current US$) [BX.TRF.PWKR.CD.DT]","Foreign direct investment, net inflows (BoP, current US$) [BX.KLT.DINV.CD.WD]",Net official development assistance and official aid received (current US$) [DT.ODA.ALLD.CD]
2005,YR2005,Colombia,COL,42220940,1.36565233876962,1141750,38.0540243352862,..,10.7,127737489396.416,3030,346128974009.171,8200,3.6,73.081,2.263,85.791,78.2,92.6,21.5,5,94,104.173110961914,121.52661895752,82.8621978759766,1.03676998615265,0.4,617716.45,..,0.478280885780886,1.89847998807834,641.475793764895,1.3651993392295,918.406837933973,145619193046.094,4.82876110795085,4.75319610733476,7.52726670177952,30.3481497700897,16.9710437391628,20.4516537557921,21.6562413080915,..,41,49.82490687534,..,3.35287338750456,51.75155503,..,78.8888888888889,29.1129205657531,125.9719859,37497341480,39.9821599853416,-41348,3345610321.40797,10235417315.1376,643070007.324219
2005,YR2005,Afghanistan,AFG,24411191,3.57650800354462,652860,37.4272741210923,..,..,..,..,..,..,..,58.361,6.905,133.071,13.6,..,108.6,..,50,..,98.0998916625977,18.6168098449707,0.547689974308014,0.1,12084.4,..,43.0159066808059,4.47468958963317,..,0.063495466170261,..,6226199249.32211,11.2297148236429,10.9127735539374,31.114854912062,26.8120992326398,..,..,..,..,9.5,..,..,1.99206569856085,4.915778177,..,31.1111111111111,45.8546199001075,125.8877109,..,..,252185,0,271000000,2815100097.65625
2005,YR2005,Albania,ALB,3011487,-0.511790116421897,28750,109.908284671533,18.5,0.6,7887615548.43347,2620,18018684855.0701,5980,8.4,76.621,1.803,18.869,60.1,99.8,20,6.6,97,..,100.676040649414,77.9093933105469,0.978039979934692,0.1,7756.85,..,5.20855018587361,1.82642935665107,719.584378082987,1.33820939947885,1722.07284972507,8052073539.38058,5.52642424695465,3.30681814689954,18.8453087247237,25.0816065897088,23.0129911473171,47.85935562815,36.8696756752052,..,41,..,..,1.35000497056322,50.45923775,..,77.7777777777778,40.7100107067846,91.59316472,2126166749.1,6.21661566608379,-50855,1289704315.92613,262479012.637464,315079986.572266
2005,YR2005,Algeria,DZA,32956690,1.36408196251206,2381740,13.8372324435077,..,..,89834366466.1676,2730,359612549047.023,10910,..,72.061,2.555,9.214,..,..,33.8,..,83,93.0753936767578,107.586097717285,78.9892120361328,0.999260008335114,0.1,17485,..,58.4469124424291,2.57616153899167,983.682159828551,2.85799339804472,895.842391939239,103198223709.439,5.89999999966911,16.1253504178912,7.69131487186431,56.5538885033346,47.2051950916585,24.0734058680896,31.6564145070923,..,22,..,..,2.83417835011465,41.45244865,..,63.3333333333333,64.3024633707239,165.0763745,17082006705.4,11.9100885597204,-111256,169999999.999993,1155999999.99995,347380004.882813
2005,YR2005,American Samoa,ASM,57254,-0.647634575615904,200,286.27,..,..,..,..,..,..,..,..,..,38.524,..,..,..,..,..,..,..,..,..,..,175.8,..,..,-0.75840230789254,..,..,..,500000000,-0.408163265306129,-1.36558343263874,..,..,99.6,123.6,..,..,..,..,..,..,..,..,..,176,111.1582343,..,..,-1697,..,..,..
2005,YR2005,Andorra,AND,79826,3.69143527252581,470,169.842553191489,..,..,..,..,..,..,..,..,..,10.487,..,..,6,..,94,..,..,..,..,..,160,..,..,3.17742111163013,..,7.2658029127189,..,3159905484.39249,5.39779598500422,3.39610212995052,0.380576808035011,16.0357828783728,..,..,..,..,..,..,..,..,80.87590509,..,..,..,..,..,..,2467,..,..,..
2005,YR2005,Angola,AGO,19450959,3.55765898910381,1246700,15.6019563648031,..,..,26682912467.1564,1370,83436173758.8902,4290,..,51.57,6.461,170.951,..,..,166.2,..,21,..,..,..,..,1.6,749333.05,..,0.476824324324324,5.67454748217163,433.185633674926,0.812813415503919,109.197700740616,36970918699.2523,15.0299999905513,42.3742492617284,5.06040294790886,60.4019934569532,65.5262677696291,41.0646943598961,27.5565797901657,24.425016261414,83,..,17.1091178120826,3.69224094698531,8.282974634,..,45.5555555555556,87.804147535713,165.8085612,12238371900.2,10.7538688229476,64009,0,-1303836930,414679992.675781
2005,YR2005,Antigua and Barbuda,ATG,79869,1.16870545018922,440,181.520454545455,..,..,1011832399.54972,12670,1584120950.57221,19830,..,75.825,1.832,49.532,..,99.9,12.9,..,99,..,..,..,..,..,91.15,..,9.80769230769231,-0.929842485393645,1715.30881818979,5.13340590746999,..,1022962962.96296,6.47383131641992,4.46164257276489,1.75633598841419,14.5184648805214,93.02679217958,82.7226647356988,26.9007965242578,..,26,..,..,..,107.67632,..,36.6666666666667,57.5778421433744,77.74726461,..,..,202,18305488.8888889,220963374.074074,8060000.4196167
2005,YR2005,Argentina,ARG,39070501,1.03347622351885,2780400,14.2765534276809,..,2.6,165719405446.532,4240,467987564262.799,11980,3.8,75.139,2.426,64.877,..,99.1,16.6,2.3,98,94.6418304443359,115.29914855957,92.7606735229492,1.03299999237061,0.3,317960,..,11.5392854919178,1.22359234802314,1712.85349015617,3.73657879363165,2397.48653338231,198737095012.282,8.85165992013437,10.3175111982406,7.93875427420938,28.6263140439084,23.2458767338576,17.3053942367662,18.8882641376513,16.6216575161027,29.5,34.940798126021,13.1031756459852,0.847154783885961,56.70883514,..,88.8888888888889,34.7393625713073,112.3205884,130788488210.2,19.7246312637172,-21961,432090000,5265250000,93870002.746582
2005,YR2005,Armenia,ARM,3047246,-0.605237484238947,29740,107.033579206182,..,2.6,4583264569.13309,1500,16956037657.7612,5560,8.1,71.792,1.54,29.062,53.1,97.8,23.9,4.2,94,92.6915817260742,95.4410629272461,92.0542831420898,..,..,3316,..,40.399475142149,-0.761535435957295,824.451980575247,1.46361666834478,1488.55720870583,4900469950.09033,13.8999999991133,3.20875666635281,..,..,27.3131979500115,42.8265406335218,35.765438994108,19.3048587396415,18,..,14.3356634088462,2.87193136291811,10.43709632,..,84.4444444444444,56.6476282534663,99.71403385,1969824792.5,7.31949641201404,-31023,915231161.780943,292073220.164722,172619995.117188
